"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"10342","GO:0036376",0.10512126925156,0.964680929294632,7,13,"sodium ion export across plasma membrane","BP"
"10769","GO:0042362",0.105247652592114,0.966709778235745,6,12,"fat-soluble vitamin biosynthetic process","BP"
"11391","GO:0043513",0.105254960612803,1,2,2,"inhibin B complex","CC"
"3701","GO:0007183",0.105316574233902,0.964596822048493,7,13,"SMAD protein complex assembly","BP"
"12213","GO:0045668",0.105388849775806,0.935767262499497,24,59,"negative regulation of osteoblast differentiation","BP"
"5162","GO:0010990",0.105426941969797,0.980835495210801,4,6,"regulation of SMAD protein complex assembly","BP"
"9702","GO:0035166",0.105460048028909,0.980827022600776,4,6,"post-embryonic hemopoiesis","BP"
"19350","GO:1901678",0.105480931881236,0.972398593909576,5,9,"iron coordination entity transport","BP"
"231","GO:0000459",0.105493176323696,0.977562086258553,4,7,"exonucleolytic trimming involved in rRNA processing","BP"
"237","GO:0000467",0.105493176323696,0.977562086258553,4,7,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"17437","GO:0090160",0.105559085482137,0.974863422609695,5,8,"Golgi to lysosome transport","BP"
"17536","GO:0090285",0.105579270612995,1,2,2,"negative regulation of protein glycosylation in Golgi","BP"
"19290","GO:1901568",0.105655010020321,0.924393198521821,47,130,"fatty acid derivative metabolic process","BP"
"16715","GO:0071812",0.105657509073886,1,2,2,"positive regulation of fever generation by positive regulation of prostaglandin secretion","BP"
"16735","GO:0071848",0.105657509073886,1,2,2,"positive regulation of ERK1 and ERK2 cascade via TNFSF11-mediated signaling","BP"
"5453","GO:0015271",0.105676732383802,0.95865313085341,9,17,"outward rectifier potassium channel activity","MF"
"19651","GO:1902475",0.105692425843468,0.944359963289562,16,35,"L-alpha-amino acid transmembrane transport","BP"
"15186","GO:0060907",0.105695062680253,0.974819582945965,5,8,"positive regulation of macrophage cytokine production","BP"
"17631","GO:0090520",0.105732352114337,0.980757287031325,4,6,"sphingolipid mediated signaling pathway","BP"
"10043","GO:0035772",0.105772155730753,1,2,2,"interleukin-13-mediated signaling pathway","BP"
"6466","GO:0019064",0.105806605651606,1,2,2,"fusion of virus membrane with host plasma membrane","BP"
"10558","GO:0039663",0.105806605651606,1,2,2,"membrane fusion involved in viral entry into host cell","BP"
"11844","GO:0044800",0.105806605651606,1,2,2,"multi-organism membrane fusion","BP"
"16332","GO:0071163",0.1058102563312,1,2,2,"DNA replication preinitiation complex assembly","BP"
"3443","GO:0006741",0.105838660102641,0.988524703639445,3,4,"NADP biosynthetic process","BP"
"9452","GO:0034447",0.105865745622339,0.983854634077456,3,5,"very-low-density lipoprotein particle clearance","BP"
"20517","GO:1904292",0.105887467800115,0.951884355564487,11,24,"regulation of ERAD pathway","BP"
"12242","GO:0045736",0.105892673522351,0.953788500413566,10,22,"negative regulation of cyclin-dependent protein serine/threonine kinase activity","BP"
"11904","GO:0045046",0.106076766524116,0.980668965394608,4,6,"protein import into peroxisome membrane","BP"
"7129","GO:0022625",0.106231145145866,0.939455952457506,16,58,"cytosolic large ribosomal subunit","CC"
"21851","GO:2000321",0.106386442203591,0.980589438761364,4,6,"positive regulation of T-helper 17 cell differentiation","BP"
"7790","GO:0031209",0.10645171504314,0.974575218963248,5,8,"SCAR complex","CC"
"4486","GO:0009214",0.106459521658906,0.980570655855462,4,6,"cyclic nucleotide catabolic process","BP"
"16670","GO:0071709",0.106464442132903,0.948267825444253,13,28,"membrane assembly","BP"
"260","GO:0000706",0.106466505559829,0.980568860538193,4,6,"meiotic DNA double-strand break processing","BP"
"22111","GO:2000671",0.106479772601653,0.972046830274899,5,9,"regulation of motor neuron apoptotic process","BP"
"1550","GO:0003245",0.106501954693954,1,2,2,"cardiac muscle tissue growth involved in heart morphogenesis","BP"
"4971","GO:0010742",0.106573857136465,0.951506413935661,11,24,"macrophage derived foam cell differentiation","BP"
"16857","GO:0072075",0.106614912417746,0.967678337880854,6,11,"metanephric mesenchyme development","BP"
"10140","GO:0035939",0.10661819291241,0.988398039756318,3,4,"microsatellite binding","MF"
"22282","GO:2001032",0.106622488592817,0.964033140254817,7,13,"regulation of double-strand break repair via nonhomologous end joining","BP"
"17165","GO:0072611",0.106770617160431,0.980490631163919,4,6,"interleukin-13 secretion","BP"
"22105","GO:2000665",0.106770617160431,0.980490631163919,4,6,"regulation of interleukin-13 secretion","BP"
"16821","GO:0072012",0.106778167932844,0.950249958795128,12,25,"glomerulus vasculature development","BP"
"16709","GO:0071801",0.106851941254614,0.957047896726196,9,18,"regulation of podosome assembly","BP"
"15148","GO:0060819",0.106904409411874,0.988351403576828,3,4,"inactivation of X chromosome by genetic imprinting","BP"
"13322","GO:0048745",0.10699991087135,0.948506719717447,13,27,"smooth muscle tissue development","BP"
"18979","GO:1900181",0.107022807199979,0.945175279746154,15,32,"negative regulation of protein localization to nucleus","BP"
"8541","GO:0032495",0.107092380212776,0.956927922620391,9,18,"response to muramyl dipeptide","BP"
"21118","GO:1905464",0.107098754871222,1,2,2,"positive regulation of DNA duplex unwinding","BP"
"21234","GO:1905776",0.107098754871222,1,2,2,"positive regulation of DNA helicase activity","BP"
"19299","GO:1901585",0.107105161829018,1,2,2,"regulation of acid-sensing ion channel activity","BP"
"21","GO:0000041",0.10712901275499,0.928703497158505,34,85,"transition metal ion transport","BP"
"10679","GO:0042164",0.107143382478821,1,2,2,"interleukin-12 alpha subunit binding","MF"
"12925","GO:0047499",0.107168902383778,0.980388020355226,4,6,"calcium-independent phospholipase A2 activity","MF"
"15716","GO:0070016",0.107172255381258,0.969496302397946,6,10,"armadillo repeat domain binding","MF"
"15322","GO:0061113",0.107185491464687,0.988305536239069,3,4,"pancreas morphogenesis","BP"
"17213","GO:0072719",0.107224354763561,0.988299189192752,3,4,"cellular response to cisplatin","BP"
"16752","GO:0071878",0.107287321161848,0.988288902971697,3,4,"negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway","BP"
"18822","GO:0140192",0.107287321161848,0.988288902971697,3,4,"regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process","BP"
"1750","GO:0003916",0.107335242211086,0.974288989733036,5,8,"DNA topoisomerase activity","MF"
"15255","GO:0061014",0.107381355616872,0.938399900657401,20,46,"positive regulation of mRNA catabolic process","BP"
"5329","GO:0014908",0.107392776348883,1,2,2,"myotube differentiation involved in skeletal muscle regeneration","BP"
"19979","GO:1903225",0.10747736312612,0.988257837207605,3,4,"negative regulation of endodermal cell differentiation","BP"
"22284","GO:2001034",0.107655450361612,0.97418501809518,5,8,"positive regulation of double-strand break repair via nonhomologous end joining","BP"
"685","GO:0001830",0.107746106441156,1,2,2,"trophectodermal cell fate commitment","BP"
"6801","GO:0020028",0.107746106441156,1,2,2,"endocytic hemoglobin import","BP"
"7078","GO:0021997",0.107746106441156,1,2,2,"neural plate axis specification","BP"
"16180","GO:0070853",0.107746106441156,1,2,2,"myosin VI binding","MF"
"18083","GO:0097752",0.107746106441156,1,2,2,"regulation of DNA stability","BP"
"10014","GO:0035726",0.1078224832596,0.967198300833452,6,11,"common myeloid progenitor cell proliferation","BP"
"4896","GO:0010626",0.107857584697195,0.980210176395513,4,6,"negative regulation of Schwann cell proliferation","BP"
"15373","GO:0061217",0.107950180332278,0.947405070783166,13,28,"regulation of mesonephros development","BP"
"13102","GO:0048269",0.107964345816275,1,2,2,"methionine adenosyltransferase complex","CC"
"4361","GO:0009064",0.10800447859483,0.932563536211555,26,64,"glutamine family amino acid metabolic process","BP"
"15675","GO:0061980",0.108018770407497,0.944572931925626,15,32,"regulatory RNA binding","MF"
"2891","GO:0005902",0.108054225150419,0.927141564312328,36,90,"microvillus","CC"
"5248","GO:0014733",0.108070293937355,0.960238884322815,8,15,"regulation of skeletal muscle adaptation","BP"
"10790","GO:0042402",0.108090680205918,0.96553349047769,6,12,"cellular biogenic amine catabolic process","BP"
"6286","GO:0017137",0.108139909510373,0.919451321708319,62,158,"Rab GTPase binding","MF"
"12946","GO:0047696",0.108169152985412,1,2,2,"beta-adrenergic receptor kinase activity","MF"
"15797","GO:0070168",0.108180459928788,0.953262943762911,10,21,"negative regulation of biomineral tissue development","BP"
"1085","GO:0002433",0.108211190385528,0.980118656559873,4,6,"immune response-regulating cell surface receptor signaling pathway involved in phagocytosis","BP"
"10480","GO:0038096",0.108211190385528,0.980118656559873,4,6,"Fc-gamma receptor signaling pathway involved in phagocytosis","BP"
"9650","GO:0035024",0.10821297087977,0.954049460227732,10,20,"negative regulation of Rho protein signal transduction","BP"
"11284","GO:0043313",0.108226646860318,0.973999238851835,5,8,"regulation of neutrophil degranulation","BP"
"20677","GO:1904582",0.10824254911024,1,2,2,"positive regulation of intracellular mRNA localization","BP"
"6999","GO:0021849",0.108369391576681,1,2,2,"neuroblast division in subventricular zone","BP"
"3082","GO:0006231",0.108373529243557,0.98811092973049,3,4,"dTMP biosynthetic process","BP"
"12428","GO:0046073",0.108373529243557,0.98811092973049,3,4,"dTMP metabolic process","BP"
"10117","GO:0035907",0.108385637491732,0.969040589554563,6,10,"dorsal aorta development","BP"
"12997","GO:0048016",0.108411906249208,0.934925111103599,23,54,"inositol phosphate-mediated signaling","BP"
"5823","GO:0016246",0.108457228554159,0.963237406668217,7,13,"RNA interference","BP"
"890","GO:0002091",0.108509695028037,0.968993891627861,6,10,"negative regulation of receptor internalization","BP"
"4483","GO:0009211",0.108514039599513,0.983255405473099,3,5,"pyrimidine deoxyribonucleoside triphosphate metabolic process","BP"
"1088","GO:0002437",0.108637422586034,0.935829714505263,21,52,"inflammatory response to antigenic stimulus","BP"
"21476","GO:1990504",0.108676462167061,0.968931086149522,6,10,"dense core granule exocytosis","BP"
"20568","GO:1904377",0.108701213407902,0.932234496586232,26,63,"positive regulation of protein localization to cell periphery","BP"
"16994","GO:0072272",0.108731198714697,1,2,2,"proximal/distal pattern formation involved in metanephric nephron development","BP"
"20933","GO:1905049",0.108772409682028,0.979973116668472,4,6,"negative regulation of metallopeptidase activity","BP"
"3557","GO:0006930",0.108861477230422,0.973792295090285,5,8,"substrate-dependent cell migration, cell extension","BP"
"17272","GO:0086005",0.108863379486718,0.946873449713076,13,28,"ventricular cardiac muscle cell action potential","BP"
"16765","GO:0071895",0.108869326426478,0.979947947974189,4,6,"odontoblast differentiation","BP"
"20591","GO:1904415",0.108876444031058,0.973787410235465,5,8,"regulation of xenophagy","BP"
"20592","GO:1904417",0.108876444031058,0.973787410235465,5,8,"positive regulation of xenophagy","BP"
"2117","GO:0004551",0.10888239811329,0.957685681319952,8,17,"nucleotide diphosphatase activity","MF"
"2378","GO:0004920",0.108951487650152,1,2,2,"interleukin-10 receptor activity","MF"
"5857","GO:0016303",0.109013020774383,0.968804228930233,6,10,"1-phosphatidylinositol-3-kinase activity","MF"
"709","GO:0001865",0.109022297282608,0.968800730355503,6,10,"NK T cell differentiation","BP"
"20580","GO:1904397",0.109034085875933,1,2,2,"negative regulation of neuromuscular junction development","BP"
"3094","GO:0006264",0.109091238601247,0.962961409525612,7,13,"mitochondrial DNA replication","BP"
"22200","GO:2000814",0.109106223236111,1,2,2,"positive regulation of barbed-end actin filament capping","BP"
"3919","GO:0008049",0.109155678190496,1,2,2,"male courtship behavior","BP"
"581","GO:0001678",0.10915913644026,0.919952279252209,55,144,"cellular glucose homeostasis","BP"
"13672","GO:0050902",0.109181299634046,1,2,2,"leukocyte adhesive activation","BP"
"10022","GO:0035739",0.109329666538857,0.97103608765766,5,9,"CD4-positive, alpha-beta T cell proliferation","BP"
"22024","GO:2000561",0.109329666538857,0.97103608765766,5,9,"regulation of CD4-positive, alpha-beta T cell proliferation","BP"
"8538","GO:0032490",0.109337603754139,0.966593307577414,6,11,"detection of molecule of bacterial origin","BP"
"3742","GO:0007252",0.109418388652011,0.956822788201824,9,17,"I-kappaB phosphorylation","BP"
"11792","GO:0044615",0.10960177077439,0.979757399228589,4,6,"nuclear pore nuclear basket","CC"
"1660","GO:0003680",0.109609399747758,0.970936314280051,5,9,"AT DNA binding","MF"
"17462","GO:0090190",0.109619441893423,0.950475734327309,11,23,"positive regulation of branching involved in ureteric bud morphogenesis","BP"
"6064","GO:0016716",0.109646772286712,1,2,2,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","MF"
"5036","GO:0010832",0.109662886168122,0.958298792712839,8,16,"negative regulation of myotube differentiation","BP"
"4794","GO:0010390",0.109699020165275,0.944910409226217,14,30,"histone monoubiquitination","BP"
"5536","GO:0015669",0.109728660666856,0.959287880777392,7,16,"gas transport","BP"
"578","GO:0001674",0.109747258584937,0.976289692604514,4,7,"female germ cell nucleus","CC"
"2855","GO:0005849",0.109771634327021,0.95241913623189,10,21,"mRNA cleavage factor complex","CC"
"10950","GO:0042693",0.109773871254323,0.962663660024102,7,13,"muscle cell fate commitment","BP"
"9738","GO:0035259",0.109783671127731,0.95322889755336,10,20,"glucocorticoid receptor binding","MF"
"13539","GO:0050713",0.109789156357652,0.979708554371229,4,6,"negative regulation of interleukin-1 beta secretion","BP"
"20493","GO:1904238",0.109850667419017,0.979692512104198,4,6,"pericyte cell differentiation","BP"
"22083","GO:2000641",0.109856167956861,0.955543472237844,9,18,"regulation of early endosome to late endosome transport","BP"
"6157","GO:0016874",0.109870534361727,0.918984200084616,57,148,"ligase activity","MF"
"462","GO:0001225",0.109939878145811,1,2,2,"RNA polymerase II transcription coactivator binding","MF"
"21450","GO:1990428",0.10999984423037,1,2,2,"miRNA transport","BP"
"3095","GO:0006265",0.110104680598215,0.973385609043221,5,8,"DNA topological change","BP"
"21049","GO:1905323",0.110112519796666,0.979624173304151,4,6,"telomerase holoenzyme complex assembly","BP"
"6193","GO:0016929",0.110132552068085,0.979618942110244,4,6,"SUMO-specific protease activity","MF"
"14102","GO:0051608",0.110157713002214,0.957062804509525,8,17,"histamine transport","BP"
"5241","GO:0014719",0.110281530280177,0.979580024243991,4,6,"skeletal muscle satellite cell activation","BP"
"3541","GO:0006903",0.11033853550899,0.941091486848966,16,36,"vesicle targeting","BP"
"3014","GO:0006105",0.110365663546584,0.966181097126175,6,11,"succinate metabolic process","BP"
"22201","GO:2000815",0.110402506458417,1,2,2,"regulation of mRNA stability involved in response to oxidative stress","BP"
"7439","GO:0030423",0.110434784762989,0.987770448551371,3,4,"targeting of mRNA for destruction involved in RNA interference","BP"
"4030","GO:0008235",0.110541908437904,0.934199866624796,22,52,"metalloexopeptidase activity","MF"
"7544","GO:0030663",0.110561627668918,0.957868158051795,8,16,"COPI-coated vesicle membrane","CC"
"7067","GO:0021978",0.110634153056006,0.957833361536293,8,16,"telencephalon regionalization","BP"
"21701","GO:2000097",0.110868828762109,0.987698294715073,3,4,"regulation of smooth muscle cell-matrix adhesion","BP"
"2829","GO:0005801",0.110902516479686,0.936692089774331,19,45,"cis-Golgi network","CC"
"8788","GO:0032878",0.110918648063728,0.948609160124572,12,24,"regulation of establishment or maintenance of cell polarity","BP"
"17340","GO:0086103",0.110920950726177,0.965957879046228,6,11,"G protein-coupled receptor signaling pathway involved in heart process","BP"
"1285","GO:0002756",0.11102444693687,0.965916230800631,6,11,"MyD88-independent toll-like receptor signaling pathway","BP"
"20089","GO:1903436",0.111034035877887,1,2,2,"regulation of mitotic cytokinetic process","BP"
"20090","GO:1903438",0.111034035877887,1,2,2,"positive regulation of mitotic cytokinetic process","BP"
"20106","GO:1903490",0.111034035877887,1,2,2,"positive regulation of mitotic cytokinesis","BP"
"8110","GO:0031751",0.111095174515811,1,2,2,"D4 dopamine receptor binding","MF"
"14759","GO:0060282",0.11111528901561,0.987657253309437,3,4,"positive regulation of oocyte development","BP"
"21267","GO:1905881",0.11111528901561,0.987657253309437,3,4,"positive regulation of oogenesis","BP"
"2110","GO:0004532",0.111132896538073,0.945547876613529,13,28,"exoribonuclease activity","MF"
"19304","GO:1901606",0.111234822229954,0.927933607211646,29,75,"alpha-amino acid catabolic process","BP"
"374","GO:0000972",0.111297233582519,0.979314035612041,4,6,"transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery","BP"
"18590","GO:0101031",0.111422524041202,0.953841393469263,9,19,"chaperone complex","CC"
"4582","GO:0009450",0.111493271988752,1,2,2,"gamma-aminobutyric acid catabolic process","BP"
"9704","GO:0035174",0.111548018529211,0.979248185457644,4,6,"histone serine kinase activity","MF"
"9910","GO:0035585",0.111671636416714,1,2,2,"calcium-mediated signaling using extracellular calcium source","BP"
"14036","GO:0051490",0.111679482590012,0.987563108971923,3,4,"negative regulation of filopodium assembly","BP"
"13494","GO:0050662",0.11168436186368,0.910575460342324,100,279,"coenzyme binding","MF"
"4822","GO:0010484",0.111697668156589,0.987560069967121,3,4,"H3 histone acetyltransferase activity","MF"
"4653","GO:0009798",0.111699494360857,0.925017627715327,35,86,"axis specification","BP"
"8043","GO:0031648",0.111730507900755,0.936421420028836,19,44,"protein destabilization","BP"
"6520","GO:0019218",0.111811478026011,0.923127847430018,38,99,"regulation of steroid metabolic process","BP"
"5847","GO:0016286",0.111874667401526,0.987530476921982,3,4,"small conductance calcium-activated potassium channel activity","MF"
"5487","GO:0015368",0.111968019036674,0.967684281562141,6,10,"calcium:cation antiporter activity","MF"
"4473","GO:0009200",0.111997274155023,0.955302712825129,8,18,"deoxyribonucleoside triphosphate metabolic process","BP"
"10752","GO:0042323",0.112042438522729,1,2,2,"negative regulation of circadian sleep/wake cycle, non-REM sleep","BP"
"15854","GO:0070256",0.112042438522729,1,2,2,"negative regulation of mucus secretion","BP"
"14001","GO:0051424",0.112092661483234,1,2,2,"corticotropin-releasing hormone binding","MF"
"16123","GO:0070723",0.112096162246559,0.958359066994743,8,15,"response to cholesterol","BP"
"755","GO:0001928",0.112118427636383,1,2,2,"regulation of exocyst assembly","BP"
"11769","GO:0044533",0.112125087157286,0.987488563387123,3,4,"positive regulation of apoptotic process in other organism","BP"
"14314","GO:0052042",0.112125087157286,0.987488563387123,3,4,"positive regulation by symbiont of host programmed cell death","BP"
"14343","GO:0052330",0.112125087157286,0.987488563387123,3,4,"positive regulation by organism of programmed cell death in other organism involved in symbiotic interaction","BP"
"14364","GO:0052501",0.112125087157286,0.987488563387123,3,4,"positive regulation by organism of apoptotic process in other organism involved in symbiotic interaction","BP"
"625","GO:0001756",0.112145836160522,0.925519106756449,33,82,"somitogenesis","BP"
"14586","GO:0060027",0.112174509975155,0.972704347633185,5,8,"convergent extension involved in gastrulation","BP"
"19085","GO:1900747",0.112214246108222,0.97907291288954,4,6,"negative regulation of vascular endothelial growth factor signaling pathway","BP"
"7047","GO:0021933",0.112231962763968,1,2,2,"radial glia guided migration of cerebellar granule cell","BP"
"17656","GO:0090599",0.112234353280088,0.979067615443891,4,6,"alpha-glucosidase activity","MF"
"14928","GO:0060482",0.112374587263816,0.975492723962403,4,7,"lobar bronchus development","BP"
"13666","GO:0050893",0.112403479396809,1,2,2,"sensory processing","BP"
"10301","GO:0036304",0.112451010395268,1,2,2,"umbilical cord morphogenesis","BP"
"15261","GO:0061027",0.112451010395268,1,2,2,"umbilical cord development","BP"
"17048","GO:0072363",0.112456349150977,1,2,2,"regulation of glycolytic process by positive regulation of transcription from RNA polymerase II promoter","BP"
"8038","GO:0031643",0.112461589999832,0.954229363385565,9,18,"positive regulation of myelination","BP"
"753","GO:0001923",0.11249082894395,0.987427253151092,3,4,"B-1 B cell differentiation","BP"
"12172","GO:0045622",0.11258207465111,0.93897928277049,16,38,"regulation of T-helper cell differentiation","BP"
"19415","GO:1901898",0.112616167934682,1,2,2,"negative regulation of relaxation of cardiac muscle","BP"
"2385","GO:0004935",0.112692630566886,0.954112414588417,9,18,"adrenergic receptor activity","MF"
"3326","GO:0006583",0.112729309489008,1,2,2,"melanin biosynthetic process from tyrosine","BP"
"19915","GO:1903078",0.112733009852701,0.930849412012584,24,58,"positive regulation of protein localization to plasma membrane","BP"
"8853","GO:0032967",0.112761276037399,0.943172296031444,13,31,"positive regulation of collagen biosynthetic process","BP"
"47","GO:0000096",0.112768315609968,0.940417565956323,15,35,"sulfur amino acid metabolic process","BP"
"14747","GO:0060263",0.112779435625966,0.962286098648258,6,13,"regulation of respiratory burst","BP"
"10685","GO:0042171",0.112806039561529,0.965197126176444,6,11,"lysophosphatidic acid acyltransferase activity","MF"
"10099","GO:0035872",0.112872661133854,0.965170156384211,6,11,"nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway","BP"
"15087","GO:0060718",0.112889318626269,0.978894814449183,4,6,"chorionic trophoblast cell differentiation","BP"
"14648","GO:0060101",0.112895444294216,1,2,2,"negative regulation of phagocytosis, engulfment","BP"
"3375","GO:0006649",0.112907717357432,1,2,2,"phospholipid transfer to membrane","BP"
"12695","GO:0046677",0.113023710919256,0.908724906370303,107,300,"response to antibiotic","BP"
"16026","GO:0070542",0.1130492979124,0.933281719394209,21,50,"response to fatty acid","BP"
"10385","GO:0036475",0.113066720605683,0.944413496929466,13,28,"neuron death in response to oxidative stress","BP"
"19965","GO:1903203",0.113066720605683,0.944413496929466,13,28,"regulation of oxidative stress-induced neuron death","BP"
"21629","GO:1990939",0.113091395352433,0.936809420923215,18,41,"ATP-dependent microtubule motor activity","MF"
"6253","GO:0017082",0.113225762242571,1,2,2,"mineralocorticoid receptor activity","MF"
"20454","GO:1904172",0.11324332452524,1,2,2,"positive regulation of bleb assembly","BP"
"9675","GO:0035090",0.113245138062264,0.978800739899709,4,6,"maintenance of apical/basal cell polarity","BP"
"1820","GO:0004021",0.113319429921718,1,2,2,"L-alanine:2-oxoglutarate aminotransferase activity","MF"
"12939","GO:0047635",0.113319429921718,1,2,2,"alanine-oxo-acid transaminase activity","MF"
"19901","GO:1903053",0.113331829617866,0.938441286423584,17,37,"regulation of extracellular matrix organization","BP"
"9163","GO:0033692",0.113337459930802,0.929134948498697,26,62,"cellular polysaccharide biosynthetic process","BP"
"20142","GO:1903553",0.113415524125679,0.987271742080293,3,4,"positive regulation of extracellular exosome assembly","BP"
"11430","GO:0043559",0.113453391059645,0.978745615638599,4,6,"insulin binding","MF"
"18952","GO:1900141",0.113477744290893,1,2,2,"regulation of oligodendrocyte apoptotic process","BP"
"18953","GO:1900142",0.113477744290893,1,2,2,"negative regulation of oligodendrocyte apoptotic process","BP"
"18067","GO:0097720",0.113478770953684,0.933234323726316,21,49,"calcineurin-mediated signaling","BP"
"10291","GO:0036292",0.113524626591572,1,2,2,"DNA rewinding","BP"
"393","GO:0001010",0.113632484507634,1,2,2,"RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity","MF"
"6020","GO:0016620",0.113670426326503,0.937166039919645,17,40,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","MF"
"21217","GO:1905719",0.113723389062069,1,2,2,"protein localization to perinuclear region of cytoplasm","BP"
"7292","GO:0030185",0.113741931969908,1,2,2,"nitric oxide transport","BP"
"1394","GO:0002920",0.113770763297954,0.942171409398614,13,32,"regulation of humoral immune response","BP"
"6697","GO:0019789",0.113815910153227,0.950260033946803,10,21,"SUMO transferase activity","MF"
"14016","GO:0051447",0.113846671897054,0.952592629425265,9,19,"negative regulation of meiotic cell cycle","BP"
"14628","GO:0060074",0.113937099636831,0.942373609682346,14,30,"synapse maturation","BP"
"1359","GO:0002864",0.113941171299218,0.958245467927163,7,15,"regulation of acute inflammatory response to antigenic stimulus","BP"
"14733","GO:0060244",0.114036548579407,0.98716689752852,3,4,"negative regulation of cell proliferation involved in contact inhibition","BP"
"5811","GO:0016231",0.114044618300917,1,2,2,"beta-N-acetylglucosaminidase activity","MF"
"9022","GO:0033273",0.114069835638211,0.942819233408808,13,30,"response to vitamin","BP"
"1297","GO:0002769",0.114085952001349,1,2,2,"natural killer cell inhibitory signaling pathway","BP"
"17633","GO:0090527",0.114178440748085,0.972039845874816,5,8,"actin filament reorganization","BP"
"17590","GO:0090362",0.114205707910024,1,2,2,"positive regulation of platelet-derived growth factor production","BP"
"4639","GO:0009749",0.114262472305669,0.913888622060176,63,170,"response to glucose","BP"
"7471","GO:0030509",0.114298650371227,0.914245845738109,62,163,"BMP signaling pathway","BP"
"11933","GO:0045082",0.11436400480613,1,2,2,"positive regulation of interleukin-10 biosynthetic process","BP"
"4130","GO:0008396",0.114386572253888,1,2,2,"oxysterol 7-alpha-hydroxylase activity","MF"
"17000","GO:0072278",0.114387288825074,1,2,2,"metanephric comma-shaped body morphogenesis","BP"
"10145","GO:0035962",0.114541082209349,0.987081481138032,3,4,"response to interleukin-13","BP"
"10146","GO:0035963",0.114541082209349,0.987081481138032,3,4,"cellular response to interleukin-13","BP"
"10058","GO:0035801",0.11474594841408,1,2,2,"adrenal cortex development","BP"
"10059","GO:0035802",0.11474594841408,1,2,2,"adrenal cortex formation","BP"
"16962","GO:0072217",0.114759846532475,0.969081453887154,5,9,"negative regulation of metanephros development","BP"
"22151","GO:2000742",0.114769474698268,1,2,2,"regulation of anterior head development","BP"
"22152","GO:2000744",0.114769474698268,1,2,2,"positive regulation of anterior head development","BP"
"10491","GO:0038110",0.114796921520885,1,2,2,"interleukin-2-mediated signaling pathway","BP"
"16428","GO:0071352",0.114796921520885,1,2,2,"cellular response to interleukin-2","BP"
"1535","GO:0003218",0.114913709017497,1,2,2,"cardiac left ventricle formation","BP"
"7194","GO:0030021",0.114958607045803,0.958937664542662,7,14,"extracellular matrix structural constituent conferring compression resistance","MF"
"17899","GO:0097342",0.114972013471533,0.978342199314044,4,6,"ripoptosome","CC"
"11147","GO:0043114",0.11509909170371,0.942684386234267,13,29,"regulation of vascular permeability","BP"
"6398","GO:0018312",0.115134110004851,1,2,2,"peptidyl-serine ADP-ribosylation","BP"
"12600","GO:0046498",0.115187105160888,0.974630242372972,4,7,"S-adenosylhomocysteine metabolic process","BP"
"15443","GO:0061428",0.115194760745089,0.986970497288948,3,4,"negative regulation of transcription from RNA polymerase II promoter in response to hypoxia","BP"
"3099","GO:0006269",0.115288123585863,0.986954616580042,3,4,"DNA replication, synthesis of RNA primer","BP"
"9377","GO:0034338",0.115344441919027,0.986945033486638,3,4,"short-chain carboxylesterase activity","MF"
"9883","GO:0035545",0.115372403857225,1,2,2,"determination of left/right asymmetry in nervous system","BP"
"5310","GO:0014874",0.115415953058172,0.964136324799937,6,11,"response to stimulus involved in regulation of muscle adaptation","BP"
"7391","GO:0030322",0.11573814299716,1,2,2,"stabilization of membrane potential","BP"
"3059","GO:0006189",0.115794799603159,0.986868305313086,3,4,"'de novo' IMP biosynthetic process","BP"
"2523","GO:0005150",0.115835846669521,1,2,2,"interleukin-1, type I receptor binding","MF"
"4693","GO:0009949",0.115915482500568,1,2,2,"polarity specification of anterior/posterior axis","BP"
"14689","GO:0060167",0.115996054084415,0.986833962346151,3,4,"regulation of adenosine receptor signaling pathway","BP"
"10221","GO:0036091",0.116008995584056,0.986831752790302,3,4,"positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress","BP"
"14202","GO:0051798",0.116026499605875,0.962193434824275,6,12,"positive regulation of hair follicle development","BP"
"19561","GO:1902253",0.116039125265632,0.942808497016221,12,29,"regulation of intrinsic apoptotic signaling pathway by p53 class mediator","BP"
"18051","GO:0097679",0.116052464395695,1,1,1,"other organism cytoplasm","CC"
"20822","GO:1904841",0.116052464395695,1,1,1,"TORC2 complex binding","MF"
"10650","GO:0042117",0.11609638799948,0.986816828251148,3,4,"monocyte activation","BP"
"18204","GO:0098758",0.116145096617599,1,2,2,"response to interleukin-8","BP"
"18205","GO:0098759",0.116145096617599,1,2,2,"cellular response to interleukin-8","BP"
"6280","GO:0017128",0.116221382518031,0.96380720085197,6,11,"phospholipid scramblase activity","MF"
